Channels:	1
Count:	8641
Start:	2460793.1472222223	04/27/25 15:32:00
End:	2460793.1472222223	04/28/25 15:31:50
Parameters:	4
NonRem	2
REM	3
Unscored	255
Wake	1

Date	Time	Time Stamp	Time from Start	yijan_0_Numeric
04/27/25	15:32:00	0	0.0	1
04/27/25	15:32:10	0	10.0	1
04/27/25	15:32:20	0	20.0	1
04/27/25	15:32:30	0	30.0	1
04/27/25	15:32:40	0	40.0	1
04/27/25	15:32:50	0	50.0	1
04/27/25	15:33:00	0	60.0	1
04/27/25	15:33:10	0	70.0	1
04/27/25	15:33:20	0	80.0	1
04/27/25	15:33:30	0	90.0	1
04/27/25	15:33:40	0	100.0	1
04/27/25	15:33:50	0	110.0	1
04/27/25	15:34:00	0	120.0	1
04/27/25	15:34:10	0	130.0	1
04/27/25	15:34:20	0	140.0	1
04/27/25	15:34:30	0	150.0	1
04/27/25	15:34:40	0	160.0	1
04/27/25	15:34:50	0	170.0	1
04/27/25	15:35:00	0	180.0	1
04/27/25	15:35:10	0	190.0	2
04/27/25	15:35:20	0	200.0	1
04/27/25	15:35:30	0	210.0	1
04/27/25	15:35:40	0	220.0	1
04/27/25	15:35:50	0	230.0	1
04/27/25	15:36:00	0	240.0	1
04/27/25	15:36:10	0	250.0	1
04/27/25	15:36:20	0	260.0	1
04/27/25	15:36:30	0	270.0	1
04/27/25	15:36:40	0	280.0	1
04/27/25	15:36:50	0	290.0	1
04/27/25	15:37:00	0	300.0	1
04/27/25	15:37:10	0	310.0	1
04/27/25	15:37:20	0	320.0	1
04/27/25	15:37:30	0	330.0	1
04/27/25	15:37:40	0	340.0	1
04/27/25	15:37:50	0	350.0	1
04/27/25	15:38:00	0	360.0	1
04/27/25	15:38:10	0	370.0	1
04/27/25	15:38:20	0	380.0	1
04/27/25	15:38:30	0	390.0	1
04/27/25	15:38:40	0	400.0	1
04/27/25	15:38:50	0	410.0	1
04/27/25	15:39:00	0	420.0	1
04/27/25	15:39:10	0	430.0	1
04/27/25	15:39:20	0	440.0	1
04/27/25	15:39:30	0	450.0	1
04/27/25	15:39:40	0	460.0	1
04/27/25	15:39:50	0	470.0	1
04/27/25	15:40:00	0	480.0	1
04/27/25	15:40:10	0	490.0	1
04/27/25	15:40:20	0	500.0	1
04/27/25	15:40:30	0	510.0	1
04/27/25	15:40:40	0	520.0	1
04/27/25	15:40:50	0	530.0	1
04/27/25	15:41:00	0	540.0	1
04/27/25	15:41:10	0	550.0	1
04/27/25	15:41:20	0	560.0	1
04/27/25	15:41:30	0	570.0	1
04/27/25	15:41:40	0	580.0	1
04/27/25	15:41:50	0	590.0	1
04/27/25	15:42:00	0	600.0	1
04/27/25	15:42:10	0	610.0	1
04/27/25	15:42:20	0	620.0	1
04/27/25	15:42:30	0	630.0	1
04/27/25	15:42:40	0	640.0	1
04/27/25	15:42:50	0	650.0	1
04/27/25	15:43:00	0	660.0	1
04/27/25	15:43:10	0	670.0	1
04/27/25	15:43:20	0	680.0	1
04/27/25	15:43:30	0	690.0	1
04/27/25	15:43:40	0	700.0	1
04/27/25	15:43:50	0	710.0	1
04/27/25	15:44:00	0	720.0	1
04/27/25	15:44:10	0	730.0	1
04/27/25	15:44:20	0	740.0	1
04/27/25	15:44:30	0	750.0	1
04/27/25	15:44:40	0	760.0	1
04/27/25	15:44:50	0	770.0	1
04/27/25	15:45:00	0	780.0	1
04/27/25	15:45:10	0	790.0	2
04/27/25	15:45:20	0	800.0	1
04/27/25	15:45:30	0	810.0	1
04/27/25	15:45:40	0	820.0	1
04/27/25	15:45:50	0	830.0	1
04/27/25	15:46:00	0	840.0	2
04/27/25	15:46:10	0	850.0	1
04/27/25	15:46:20	0	860.0	2
04/27/25	15:46:30	0	870.0	2
04/27/25	15:46:40	0	880.0	2
04/27/25	15:46:50	0	890.0	1
04/27/25	15:47:00	0	900.0	2
04/27/25	15:47:10	0	910.0	1
04/27/25	15:47:20	0	920.0	2
04/27/25	15:47:30	0	930.0	2
04/27/25	15:47:40	0	940.0	2
04/27/25	15:47:50	0	950.0	2
04/27/25	15:48:00	0	960.0	2
